招聘单位,城市,位置,经度,维度,当前是否招聘,全职,保险情况,吃住情况,面试时间,试岗时间,岗位类型,性别,年龄要求,特殊要求,是否接受有犯罪记录,运力紧急情况,工作时间,相关经验,薪资,工作内容
白江站,广州,广东省广州市增城区新塘镇广深大道西63号小象超市（原美团买菜）,113.596176,23.121181,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
凤凰城南站,广州,广州市增城区新塘镇凤凰城荔枝文化村20号一楼,113.565117,23.125601,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
增城荔城站,广州,广州市增城区荔城街道荔城大道215号之一,113.81329,23.295928,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
增城荔城站,广州,广州市增城区荔城街道荔城大道215号之一,113.81329,23.295928,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
黄陂站,广州,广东省广州市黄埔区黄陂朱华路21号美团买菜,113.433839,23.190939,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
黄陂站,广州,广东省广州市黄埔区黄陂朱华路21号美团买菜,113.433839,23.190939,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
黄陂站,广州,广东省广州市黄埔区黄陂朱华路21号美团买菜,113.433839,23.190939,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
天河客运站,广州,广州市天河区元岗北街91号之4自编101-112室,113.339272,23.179512,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
天河客运站,广州,广州市天河区元岗北街91号之4自编101-112室,113.339272,23.179512,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
太和站,广州,白云区太和镇大源村黄庄南路74号欧梵广场E205 室,113.344589,23.237093,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
长湴站,广州,广州市天河区五山长湴路广州市萌芽实业总公司大院14栋,113.353622,23.178635,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
岑村站,广州,广州市天河区华观路北樟木山大街2号01房,113.385963,23.168962,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
岑村站,广州,广州市天河区华观路北樟木山大街2号01房,113.385963,23.168962,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
岑村站,广州,广州市天河区华观路北樟木山大街2号01房,113.385963,23.168962,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
岑村站,广州,广州市天河区华观路北樟木山大街2号01房,113.385963,23.168962,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
新智慧城站,广州,广州市天河区横圳路13号,113.407135,23.160261,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
新智慧城站,广州,广州市天河区横圳路13号,113.407135,23.160261,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
新智慧城站,广州,广州市天河区横圳路13号,113.407135,23.160261,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
东莞庄站,广州,天河区东莞庄路东莞庄68号,113.336304,23.157059,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
海珠万胜围站,广州,广州市海珠区新港东路琶洲（迎鑫玻璃隔壁）,113.391876,23.097476,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
海珠万胜围站,广州,广州市海珠区新港东路琶洲（迎鑫玻璃隔壁）,113.391876,23.097476,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
官洲北站,广州,广州市海珠区仑头路72号之6栋201,113.369537,23.081482,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
官洲北站,广州,广州市海珠区仑头路72号之6栋201,113.369537,23.081482,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
海珠磨碟沙站,广州,广州市海珠区江海街红卫新村水产路岗园街（白沙院）02号、03号,113.33857,23.089094,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
海珠磨碟沙站,广州,广州市海珠区江海街红卫新村水产路岗园街（白沙院）02号、03号,113.33857,23.089094,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
海珠磨碟沙站,广州,广州市海珠区江海街红卫新村水产路岗园街（白沙院）02号、03号,113.33857,23.089094,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
昌岗站,广州,广州市海珠区晓港中路130号之十七半地下室,113.28299,23.088701,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
江南大道中站,广州,广州市海珠区前进路26号首层-1、26号首层-2、26号首层自编之三号,113.272179,23.103182,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
鹭江站,广州,广州市海珠区滨江东路550号,113.301826,23.102507,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
沙园站,广州,广东省广州市海珠区工业大道北33号,113.254753,23.09672,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
沙园站,广州,广东省广州市海珠区工业大道北33号,113.254753,23.09672,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
沙园站,广州,广东省广州市海珠区工业大道北33号,113.254753,23.09672,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
赤岗站,广州,广州市海珠区赤岗街道赤岗路60号赤岗新街市,113.327293,23.092505,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
燕岗站,广州,广州市海珠区南箕东街71号139-142铺,113.27282,23.068708,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
海珠体育馆站,广州,广州市海珠区燕子岗路燕岗街1号之三102室,113.281151,23.076431,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
海珠体育馆站,广州,广州市海珠区燕子岗路燕岗街1号之三102室,113.281151,23.076431,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
沥滘站,广州,广州市海珠区盛昌街15号-17号101房,113.320915,23.05817,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
沥滘站,广州,广州市海珠区盛昌街15号-17号101房,113.320915,23.05817,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
沥滘站,广州,广州市海珠区盛昌街15号-17号101房,113.320915,23.05817,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
南洲站,广州,广州市海珠区南洲路宝丰街2-8号首层自编 A18-A35、自编31-42及自编45-62,113.293404,23.06736,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
南洲站,广州,广州市海珠区南洲路宝丰街2-8号首层自编 A18-A35、自编31-42及自编45-62,113.293404,23.06736,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
海珠中大站,广州,广州市海珠区新港西路152号一层01室,113.300253,23.091115,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
洛溪站,广州,广州市番禺区沙滘西路43号龙腾时代产业园,113.312752,23.039583,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
洛溪站,广州,广州市番禺区沙滘西路43号龙腾时代产业园,113.312752,23.039583,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
番禺万博站,广州,广州市番禺区南村镇汉溪大道东300号紫荆雅园商场129-132房,113.346639,22.998345,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
番禺万博站,广州,广州市番禺区南村镇汉溪大道东300号紫荆雅园商场129-132房,113.346639,22.998345,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
番禺万博站,广州,广州市番禺区南村镇汉溪大道东300号紫荆雅园商场129-132房,113.346639,22.998345,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
南浦站,广州,广州市番禺区桔树村万兴一路一号,113.292366,23.030453,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
华南新城站,广州,广州市番禺区华南新城路8号,113.348618,23.017565,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
华南新城站,广州,广州市番禺区华南新城路8号,113.348618,23.017565,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
华南新城站,广州,广州市番禺区华南新城路8号,113.348618,23.017565,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
番禺大石站,广州,广州市番禺区番禺大道北60号,113.335655,23.01465,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
