区域,行政区,站点,全职分拣,全职白班,全职水产,全职夜班,夜班分拣,资深副站长,副站长,果切员,库管员,上架员,果蔬加工员,门店地址,面试联系人,联系方式,longitude,latitude
深圳5区,福田区,华富站,5,1,,1,1,,,,,,,深圳市龙华区民治南路1A号锦尚商业楼,,,114.08181,22.545832
深圳5区,福田区,华发站,15,,1,,5,,,,,,,深圳市宝安区新安街道兴东社区72区马边工业区10栋厂房1B,,,114.090446,22.545738
深圳3区,龙岗区,湖西站,4,,,,,1,,,,,,深圳市龙岗区布沙路富文工业区新e栋小象超市（白鲨美式篮球馆楼下）,,,114.13958,22.606716
深圳4区,罗湖区,鸿业站,10,,,,,,,,,,,深圳市龙岗区布吉街道百合商业楼1栋124-A31-A35室,,,114.132866,22.557056
深圳10区,南山区,虹步站,2,,,,5,,,,,,,广东省深圳市坪山区坑梓街道坑梓社区梓祥路14号106,,,113.925812,22.55011
深圳9区,南山区,泓锦站,,,,1,4,,,,,,,深圳市南山区沙河街道石洲中路白石洲东社区万众物流中心 1楼,,,113.917389,22.493401
深圳13区,宝安区,红星站,,,,,,,,,,,,深圳市宝安区福永街道塘尾社区宝安大道6373号森海智产业园D栋103-108号,,,113.845071,22.758814
深圳3区,龙岗区,红棉站,,,,,,,,,,,,深圳市龙岗区园山街道保安社区广达路68号A栋1层A110室,,,114.208511,22.657988
深圳11A区,宝安区,合正站,2,,,1,1,,,,,,,深圳市宝安区洲石路与同富路交叉口西南120米多娜小象超市（同富站）,,,113.865551,22.575314
深圳11区,宝安区,航城站,3,1,,,2,,,,,,,,,,113.857887,22.604118
深圳10区,福田区,海康站,,1,2,,2,,,,,,,深圳市福田区华富路1046号华康大厦1楼美团买菜,,,114.061137,22.567567
深圳9区,南山区,海虹站,1,,,,1,,,,,,,深圳市南山区南海大道1075号TCL科技大厦b栋一楼,,,113.924851,22.487419
深圳2区,龙岗区,广弘站,2,,4,,,,,,,1,,深圳市龙岗区龙城街道龙飞大道688号,,,114.11985,22.682724
深圳12区,光明区,光辉站,,,,,,,,,,,,光明区光明街道东周社区光明大街399号11栋一层,,,113.938488,22.765372
深圳8B区,龙华区,观澜站,,,,,,,,,,,,深圳市龙华区观澜观光路大水坑维佳达广场麦当劳隔壁,,,114.013649,22.732141
深圳8A区,龙华区,谷丰站,1,,,,1,,,,,,,深圳市龙华区观澜湖街道新田社区公坑廊工业区36-1号101,,,114.09005,22.707682
深圳11区,宝安区,共乐站,3,,,2,2,,,,,,,,,,113.864082,22.586966
深圳8B区,龙华区,共和站,2,,2,5,,,,,,2,,深圳市龙华区龙华街道共和农贸批发市场1栋G15-G17摊位,,,114.039406,22.648062
深圳9区,南山区,高新站,10,,,,5,,,,,,,深圳市福田区南园路94号2楼（贵州地摊火锅边上有个停车场，一直往前，就能看到骑手，跟着骑手上2楼）,,,113.944,22.535519
惠州1A区,惠城区,港惠站,,,,,,,,,,,,深圳市南山区南山街道桂庙路5号福海苑（1、2、3、4栋）一层,,,114.413622,23.066513
深圳10区,宝安区,富源站,2,,,,,,,,,,,深圳市南山区马家龙工业区15栋1楼,,,113.887222,22.569319
深圳11区,宝安区,福永站,2,,1,1,2,,,1,,,,宝安区福永街道福海工业园巨诺大厦,,,113.811302,22.674871
深圳6区,龙岗区,福星站,10,,,,,,,,,,,深圳市福田区福保街道新港社区益田五路3号石厦南综合楼中和楼1层,,,114.064308,22.611411
深圳3区,龙岗区,福祥站,10,,,,,,,,,,,深圳市龙岗区吉华街道水径社区上水径水联路5号101、104,,,114.110153,22.61968
深圳5区,福田区,福民站,3,,,,3,,,,,,,深圳市福田区振兴路39-9号一层,,,114.064102,22.527523
深圳13区,宝安区,福安站,3,1,,,,,,,,,,深圳市宝安区新桥街道万丰商业步行街7号106室,,,113.821297,22.692833
深圳7区,福田区,凤岗站,5,,1,,,,,,,,,深圳市龙华区大浪街道龙胜社区工业西路龙胜时代大厦第一层8-10号,,,114.144654,22.743533
深圳1区,坪山区,东纵站,,,,,,,,,,,,深圳市宝安区宝源南路201号第五大道高发西岸花园一期1栋D01,,,114.353355,22.682981
深圳4A区,罗湖区,东晓站,5,2,2,2,,,,,,,,深圳市龙岗区布吉街道布吉社区老圩村百花路1号厂房太子工业区101,,,114.121643,22.576153
深圳4A区,罗湖区,东门站,5,3,,3,2,,,,,,,深圳福田区园岭街道上林社区八卦岭四路厂房7栋一层,,,114.119293,22.54817
深圳13区,宝安区,东环站,,1,,,,,,,,,,深圳市宝安区福海街道和平思源工业区B栋,,,113.850046,22.712879
深圳9区,南山区,东滨站,2,,,,2,,,1,,,,深圳市南山区桃源街道福光社区留仙大道3288号宝能环球汇（导航宝能花店）,,,113.928368,22.505962
深圳1区,龙岗区,鼎泰站,,,,,,,,,,,,深圳市龙岗区宝龙街道南约社区高科大道56号万达产业园2号厂房1-1,,,114.297569,22.726128
惠州1A区,惠阳区,淡水站,1,,,2,,,,,,,,深圳市福田区梅林路154号（原润青四季椰子鸡店）（福满园大酒楼）,,,114.460151,22.792041
惠州1A区,大亚湾西区,大亚湾站,,,2,,,,,,,,,东莞市东坑镇永生路155号,,,114.481728,22.761404
深圳6区,龙岗区,大发站,6,,1,,,,,1,,,,深圳市龙岗区坂田街道南坑社区南坑第一工业区厂房B栋101,,,114.058753,22.629048
深圳12区,光明区,创新站,2,,,,,,,,,,,光明区将石路136号安讯创新产业园B栋,,,113.897148,22.751775
深圳3区,龙岗区,储发站,8,,,,,,,,,,,深圳市龙岗区储运路米兔电商产业园1层,,,114.12188,22.608477
深圳4A区,盐田区,滨海站,5,,,,3,,,,1,2,,龙岗区向前科技小镇A6栋1楼小象超市,,,114.240898,22.556131
深圳11A区,宝安区,碧海站,3,,,2,,,,,,,,深圳市宝安区西乡街道宝和苑一层1012室,,,113.859032,22.567038
深圳10区,宝安区,宝源站,,,1,,,,,,,,,深圳市罗湖区翠竹街道翠竹社区东门北路2044号鸿业苑鸿泰阁.鸿祥阁2层,,,113.877686,22.55624
深圳10区,宝安区,宝民站,,,,,,,,,,,,深圳市罗湖区布心路东乐花园乐群楼乐怡楼裙楼108-6,,,113.908684,22.55574
深圳1区,龙岗区,宝龙站,15,,,,,,,,,,,深圳市罗湖区南湖街道罗湖社区沿河南路1120号汝南大厦沿河南路1120-1,,,114.288506,22.691885
深圳11A区,宝安区,宝凌站,2,,,,,,,,,,,深圳市宝安区西乡宝凌路8号,,,113.883064,22.575142
深圳3区,龙岗区,宝荷站,,,,,,,,,,,,深圳市龙岗区嶂背社区河边工业区中国铁建电气化局,,,114.239433,22.68972
深圳3区,龙岗区,安业站,3,,,,,,,,,,,深圳市龙岗区园山街道安业路4号,,,114.226273,22.628901
深圳10区,宝安区,安乐站,10,1,1,,,,,,,,,深圳市宝安区新安街道龙井路东江豪苑1栋商场101-1,,,113.900787,22.554649
深圳2区,龙岗区,爱龙站,5,,2,1,,,,,,,,深圳市龙岗区平湖街道平湖社区万福路36号王其峰工业区A栋一层102室,,,114.233833,22.727161
深圳5区,福田区,爱华站,5,,,,,,,,,,,深圳市福田区安得街10号海康大厦一楼停车场,,,114.092339,22.538439
